category,doi,year,venue,title,evidence_level,support_from_abstract_or_metadata
survey,10.1007/s11704-024-40231-1,2024,Frontiers of Computer Science,A survey on large language model based autonomous agents,review,"Retrieved across OpenAlex/Crossref; frames LLM agents around profile, memory, planning, action, and evaluation."
survey,10.1007/s11432-024-4222-0,2024,Science China Information Sciences,The rise and potential of large language model based agents: a survey,review,"Retrieved by OpenAlex for LLM agent skills query; broad autonomous-agent survey."
evaluation,10.1145/3711896.3736570,2025,ACM,Evaluation and Benchmarking of LLM Agents: A Survey,review,"Retrieved by OpenAlex for harness/evaluation query; directly targets agent benchmark/evaluation methods."
experiential-learning,10.1609/aaai.v38i17.29936,2024,AAAI,ExpeL: LLM Agents Are Experiential Learners,empirical-method,"Retrieved by OpenAlex; title and venue indicate experience-derived agent learning method."
open-ended-skill-library,10.48550/arxiv.2305.16291,2023,arXiv,Voyager: An Open-Ended Embodied Agent with Large Language Models,empirical-method,"Retrieved by OpenAlex; canonical open-ended embodied agent with skill/library framing."
social-simulation,10.1145/3586183.3606763,2023,ACM,Generative Agents: Interactive Simulacra of Human Behavior,empirical-system,"Retrieved across OpenAlex/Crossref; high-impact agent architecture with memory/reflection/planning."
domain-expert-agent,10.48550/arxiv.2304.04370,2023,arXiv,OpenAGI: When LLM Meets Domain Experts,system/framework,"Retrieved by OpenAlex; indicates agent system integrating LLMs with domain expertise."
software-agent,10.18653/v1/2024.acl-long.810,2024,ACL,ChatDev: Communicative Agents for Software Development,empirical-system,"Retrieved by OpenAlex; multi-agent software-development setting relevant to harnessed agent workflows."
tool-augmented-llm,10.1038/s42256-024-00832-8,2024,Nature Machine Intelligence,Augmenting large language models with chemistry tools,domain-system,"Retrieved by OpenAlex; example of domain tool augmentation and agent/tool integration."
prompt-skill,10.3389/feduc.2024.1366434,2024,Frontiers in Education,Prompt engineering as a new 21st century skill,position/education,"Retrieved by OpenAlex; human-facing prompt/skill framing."
benchmark-tool-use,10.48550/arxiv.2508.16260,2025,arXiv,MCPVerse: An Expansive, Real-World Benchmark for Agentic Tool Use,benchmark,"Retrieved by Semantic Scholar despite partial 429; benchmark for MCP/tool invocation."
benchmark-tool-use,10.48550/arxiv.2510.24563,2025,arXiv,OSWorld-MCP: Benchmarking MCP Tool Invocation In Computer-Use Agents,benchmark,"Retrieved by Semantic Scholar; harness-level tool invocation benchmark."
skill-theory,10.48550/arxiv.2602.20867,2026,arXiv,SoK: Agentic Skills - Beyond Tool Use in LLM Agents,systematization,"Retrieved by Semantic Scholar; direct statement that agentic skills exceed simple tool calls."
skill-acquisition,10.48550/arxiv.2512.23880,2025,arXiv,CASCADE: Cumulative Agentic Skill Creation through Autonomous Development and Evolution,method,"Retrieved by Semantic Scholar; cumulative autonomous skill creation."
robot-skill-acquisition,10.48550/arxiv.2307.14535,2023,arXiv,Scaling Up and Distilling Down: Language-Guided Robot Skill Acquisition,empirical-method,"Retrieved by Semantic Scholar; language-guided skill acquisition beyond text-only harnesses."
