10.4324/9781003467069-3	Scaffolding of retrieval practice and verbal prompts
10.1007/978-3-642-13437-1_92	Agent Prompts: Scaffolding Students for Productive Reflection in an Intelligent Learning Environment
10.4135/9781483346397.n253	Reflection and Preflection Prompts and Scaffolding
10.1515/cti-2025-0012	Scaffolding self-regulated problem solving: the influence of content-independent metacognitive prompts on students’ general problem-solving skills
10.1007/978-3-642-30171-1_15	Incorporation of Agent Prompts as Scaffolding of Reflection in an Intelligent Learning Environment
10.21203/rs.3.rs-6850000/v1	Scaffolding Reflective and Critical Thinking through Writing Prompts: Evidence from Journalism Internships
10.18260/p.26137	Scaffolding through Question Prompts to Avoid Pernicious Einstellung (Set) Effect
10.15760/etd.2125	Integrating K-W-L Prompts into Science Journal Writing: Can Simple Question Scaffolding Increase Student Content Knowledge?
10.31274/rtd-20201118-274	Scaffolding reasoning skills in the science classroom
10.31390/gradschool_theses.4648	Using Teacher Prompts to Increase Leadership Skills in Preschool Children
10.55057/ajress.2024.6.2.44	Scaffolding Critical Thinking Among Interns Through The Use Of Prompts For Reflective Writing
10.4018/jdet.2008040103	On Scaffolding Adaptive Teaching Prompts Within Virtual Labs
10.1201/9781003734062-40	Agent-Based Epidemic Spreading
10.1037/e510202022-001	Response latency to SRL scaffolding prompts predicts course performance
10.1007/978-94-6300-591-3	Non-cognitive Skills and Factors in Educational Attainment
10.4324/9781003506560-8	Social and Emotional Skills for Scaffolding
10.18260/p.23923	Effects of Scaffolding Creative Problem-solving Through Question Prompts in Project-based Community Service Learning
10.1007/978-94-6300-591-3_1	Non-Cognitive Skills and Factors in Educational Success and Academic Achievement
10.7763/ijcce.2014.v3.299	Metacognitive Scaffolding Agent Based on BDI Model for Interactive Learning Environments
10.3138/9781487510381-006	5 Using Reflective Writing Prompts and Storytelling Skills to Maximize Growth and Reflection
